id,name,availability,code_product,price,hrefs
6124,Настольная карточная игра Hobby World Ужас Аркхэма. Третья редакция: Под тёмными волнами (915283),Нет в наличии,L11873,4989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-uzhas-arkkhema-tretya-redaktsiya-pod-tyemnymi-volnami-915283/
6125,Настольная игра Magellan Шакал: Архипелаг (2018) (MAG112975),Нет в наличии,L12107,2489,https://igroray.ru/catalog/nastolnaya-igra-magellan-shakal-arkhipelag-2018/
6126,Настольная игра Hobby World Ответь за 5 секунд (2021)(MAG119845),Нет в наличии,L12098,2489,https://igroray.ru/catalog/nastolnaya-igra-hobby-world-otvet-za-5-sekund-2021/
6127,Настольная карточная игра Hobby World Древний Ужас: Под пирамидами (1641),Нет в наличии,L11891,4489,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-drevniy-uzhas-pod-piramidami/
6128,Настольная карточная игра Hobby World Основатели Мрачной гавани (915348),Нет в наличии,L11752,5489,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-osnovateli-mrachnoy-gavani-915348/
6129,Часодеи. Узнай секрет времени. Настольная игра. 250х250х55 мм. Умные игры.  в кор.10шт 4680107941510 (10),Нет в наличии,L21590,389,https://igroray.ru/catalog/chasodei-uznaj-sekret-vremeni-nastolnaya-igra-250h250h55-mm-umnye-igry-v-kor-10sht-4680107941510-10/
6130,Настольная игра Magellan Боги Олимпа (MAG119837),Нет в наличии,L12067,2989,https://igroray.ru/catalog/nastolnaya-igra-magellan-bogi-olimpa/
6131,Ролевая игра Hobby World Starfinder. Основная книга правил (75064),Нет в наличии,L12025,2989,https://igroray.ru/catalog/rolevaya-igra-hobby-world-starfinder-osnovnaya-kniga-pravil/
6132,Ролевая игра Hobby World Зов Ктулху. Стартовый набор (915248),Нет в наличии,L12092,2489,https://igroray.ru/catalog/rolevaya-igra-hobby-world-zov-ktulkhu-startovyy-nabor/
6133,Настольная карточная игра Hobby World Нечто. Норвежская станция (915356),Нет в наличии,L11858,3489,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-nechto-norvezhskaya-stantsiya-915356/
6134,Настольная карточная игра Hobby World Подводные города: Новые открытия (915249),Нет в наличии,L11959,3289,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-podvodnye-goroda-novye-otkrytiya-915249/
6135,Настольная карточная игра Hobby World Поиски планеты X (915395),Нет в наличии,L11915,3989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-poiski-planety-x-915395/
6136,Настольная карточная игра Hobby World Остаться в живых: Неизведанные земли (181933),Нет в наличии,L11912,3989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-ostatsya-v-zhivykh-neizvedannye-zemli-181933/
6137,Настольная карточная игра Hobby World Древний Ужас: Мир грёз (181978),Нет в наличии,L11877,4489,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-drevniy-uzhas-mir-gryez-181978/
6138,Настольная карточная игра Hobby World Pathfinder: Базовый набор (915250),Нет в наличии,L11856,4989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-game-pathfinder-bazovyy-nabor-915250/
6139,Настольная игра Мини Крут Миллионер (4680107999610),Нет в наличии,L21947,248,https://igroray.ru/catalog/mini-krut-millioner-nastolnaya-biznes-igra-217h330h27-mm-umnye-igry-v-kor-20sht-4680107999610/
6140,Настольная игра Hobby World Предназначение: Море песка (915452),Нет в наличии,L12070,2989,https://igroray.ru/catalog/nastolnaya-igra-hobby-world-prednaznachenie-more-peska/
6141,Настольная игра Ravensburger Скотланд Ярд (RAV-26007),Нет в наличии,L12548,3789,https://igroray.ru/catalog/nastolnaya-igra-ravensburger-skotland-yard/
6142,Настольная карточная игра Hobby World Runebound. Третья редакция: Нерушимые узы (181940),Нет в наличии,L11961,3289,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-runebound-tretya-redaktsiya-nerushimye-uzy-181940/
6143,Настольная карточная игра Hobby World Runebound. Третья редакция (1599),Нет в наличии,L11864,4989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-runebound-tretya-redaktsiya-1599/
6144,Ролевая игра Hobby World Дюна: Приключения в Империи. Основная книга правил (717093),Нет в наличии,L11948,3489,https://igroray.ru/catalog/rolevaya-igra-hobby-games-dyuna-priklyucheniya-v-imperii-osnovnaya-kniga-pravil-717093/
6145,Настольная игра Hobby World Песнь льда и огня: Пироманты (SIF1204),Нет в наличии,L12126,2289,https://igroray.ru/catalog/nastolnaya-igra-hobby-world-pesn-lda-i-ognya-piromanty/
6146,Настольная игра Hobby World Расцвет (915404),Нет в наличии,L11941,3489,https://igroray.ru/catalog/nastolnaya-igra-hobby-games-rastsvet-915404/
6147,Настольная игра Запутанное дело Шерлока Холмса (4680107974303),Нет в наличии,L21594,389,https://igroray.ru/catalog/zaputannoe-delo-sherloka-holmsa-nastolnaya-igra-250h250h55-mm-umnye-igry-v-kor-10sht-4680107974303-10/
6148,Ролевая игра Hobby World Dungeons & Dragons: Книга игрока (73601-R),Нет в наличии,L11896,4489,https://igroray.ru/catalog/rolevaya-igra-hobby-games-dungeons-dragons-kniga-igroka-73601-r/
6149,Настольная ролевая игра Hobby World Pathfinder. Стартовый набор (1551),Нет в наличии,L12056,2989,https://igroray.ru/catalog/nastolnaya-rolevaya-igra-hobby-world-pathfinder-startovyy-nabor/
6150,Настольная карточная игра Hobby World Особняки безумия. Вторая редакция: Зловещие путешествия (915463),Нет в наличии,L11857,4989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-osobnyaki-bezumiya-vtoraya-redaktsiya-zloveshchie-puteshestv/
6151,Настольная игра Hobby World Песнь льда и огня: Нейтральные герои 1 (SIF1505),Нет в наличии,L12111,2289,https://igroray.ru/catalog/nastolnaya-igra-hobby-world-pesn-lda-i-ognya-neytralnye-geroi-1/
6152,Настольная игра Ravensburger Бобёр Вилли (RAV-21103),Нет в наличии,L12551,3389,https://igroray.ru/catalog/nastolnaya-igra-ravensburger-bobyer-villi/
6153,Настольная игра ZVEZDA Сумерки Венеции (ZV-8990),Нет в наличии,L12575,1468,https://igroray.ru/catalog/nastolnaya-igra-zvezda-sumerki-venetsii/
6154,"Настольная карточная игра Hobby World Погоня за ""Авророй"" (915308)",Нет в наличии,L11906,3989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-pogonya-za-avroroy-915308/
6155,Ролевая игра Hobby World Dungeons & Dragons: Руководство мастера подземелий (73602-R),Нет в наличии,L11892,4489,https://igroray.ru/catalog/rolevaya-igra-hobby-games-dungeons-dragons-rukovodstvo-mastera-podzemeliy-73602-r/
6156,Ролевая игра Hobby World Dungeons & Dragons: Энциклопедия чудовищ (73603-R),Нет в наличии,L11885,4489,https://igroray.ru/catalog/rolevaya-igra-hobby-games-dungeons-dragons-entsiklopediya-chudovishch-73603-r/
6157,Настольная ролевая игра Hobby World Pathfinder. Путеводитель по региону Внутреннего моря (17009),Нет в наличии,L12026,2989,https://igroray.ru/catalog/nastolnaya-rolevaya-igra-hobby-world-pathfinder-putevoditel-po-regionu-vnutrennego-morya/
6158,Настольная карточная игра Hobby World Ярость Дракулы. Третья редакция (181897),Нет в наличии,L11932,3989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-yarost-drakuly-tretya-redaktsiya-181897/
6159,Настольная карточная игра Hobby World Нечто. Норвежская станция. Набор миниатюр (PG065P1),Нет в наличии,L11947,3489,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-nechto-norvezhskaya-stantsiya-nabor-miniatyur-pg065p1/
6160,Ролевая игра Hobby World Зов Ктулху. Книга Хранителя (717082),Нет в наличии,L11939,3489,https://igroray.ru/catalog/rolevaya-igra-hobby-games-zov-ktulkhu-kniga-khranitelya-717082/
6161,Настольная игра Magellan Убонго (Издание 2019) (MAG118548),Нет в наличии,L12090,2489,https://igroray.ru/catalog/nastolnaya-igra-magellan-ubongo-izdanie-2019/
6162,Настольная карточная игра Hobby World Small World: Подземный мир (1869),Нет в наличии,L11847,4989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-small-world-podzemnyy-mir-1869/
6163,Настольная игра Hobby World Летучие гоблины (MAG119876),Нет в наличии,L12065,2989,https://igroray.ru/catalog/nastolnaya-igra-hobby-world-letuchie-gobliny/
6164,Настольная карточная игра Hobby World Зоопарк Нью-Йорка (915328),Нет в наличии,L11963,3289,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-zoopark-nyu-yorka-915328/
6165,Настольная карточная игра Hobby World Steam. Железнодорожный магнат (1305),Нет в наличии,L11938,2789,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-steam-zheleznodorozhnyy-magnat-1305/
6166,Настольная игра Hobby World Мафия: Вся семья в сборе (1048),Нет в наличии,L12093,2489,https://igroray.ru/catalog/nastolnaya-igra-hobby-world-mafiya-vsya-semya-v-sbore/
6167,Настольная игра Hobby World Games Герои Терринота (915100),Нет в наличии,L12076,2489,https://igroray.ru/catalog/nastolnaya-igra-fantasy-flight-games-geroi-terrinota/
6168,Настольная игра Джумагия  (4680107941626),Нет в наличии,L21591,389,https://igroray.ru/catalog/dzhumagiya-nastolnaya-igra-hodilka-kvadrat-270h270h55-mm-umnye-igry-v-kor-10sht-4680107941626-10/
6169,Настольная карточная игра Hobby World Поляна (915411),Нет в наличии,L11916,3989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-polyana-915411/
