id,name,operation,price,product_code,href
15,Смартфон Samsung Galaxy A24 (SM-A245) 6/128GB Black (черный),"||Операционная система: |Android||Диагональ экрана: |6.5"" (2340×1080). Full HD. Super AMOLED||Емкость аккумулятора: |5000 мА⋅ч||Количество основных (тыловых) камер: |3| ",18990,Код товара: 2806232,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-a24-sm-a245-6-128gb-black-chernyiy/
16,Смартфон Samsung Galaxy A14 (SM-A145) 6/128GB Black (черный),"||Операционная система: |Android||Диагональ экрана: |6.6"" (2400x1080). Full HD. PLS||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ",16490,Код товара: 2796401,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-a14-sm-a145-6-128gb-black-chernyiy/
17,Смартфон realme C30s 3/64GB Black (черный),"||Операционная система: |Android||Диагональ экрана: |6.5"" (1600x720). HD. Super LCD||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |1| ",6464,Код товара: 2815362,https://www.niceprice62.ru/telefony/mobilnye-telefony/realme-c30s-3-64gb-black-chernyiy/
18,Смартфон Xiaomi Redmi Note 12 4G 8/256GB (NFC) (RU/A) Ice Blue (синий лед),||Операционная система: |Android||Диагональ экрана: |6.67||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ,17990,Код товара: 2823859,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-note-12-4g-8-256gb-nfc-ru-a-ice-blue-siniy-led/
19,Телефон Philips Xenium E590 Black (черный),"||Операционная система: |Другая||Диагональ экрана: |3.2"" (320×240). SD. TFT||Емкость аккумулятора: |3100 мА⋅ч||SIM-карты: |SIM+micro SIM||Количество основных (тыловых) камер: |1| ",4677,Код товара: 2556268,https://www.niceprice62.ru/telefony/mobilnye-telefony/philips-xenium-e590-black-chernyiy/
20,Смартфон Xiaomi Redmi Note 12 4G 8/256GB (NFC) (RU/A) Onyx Grey (серый оникс),"||Операционная система: |Android||Диагональ экрана: |6.67"" (2400x1080). 2K QHD. AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ",17990,Код товара: 2823861,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-note-12-4g-8-256gb-nfc-ru-a-onyx-grey-seryiy-oniks/
21,Смартфон Samsung Galaxy A54 5G (SM-A546) 8/256GB Graphite (графит),"||Операционная система: |Android||Диагональ экрана: |6.4"" (2340×1080). 2K QHD. Super AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |2 nano SIM||Количество основных (тыловых) камер: |3| ",33990,Код товара: 2796376,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-a54-5g-sm-a546-8-256gb-graphite-grafit/
22,Смартфон Apple iPhone 13 128GB Starlight (сияющая звезда),"||Операционная система: |IOS||Диагональ экрана: |6.1"" (2532x1170). Full HD. OLED||Емкость аккумулятора: |3240 мА⋅ч||SIM-карты: |Nano SIM+eSIM||Количество основных (тыловых) камер: |2| ",65990,Код товара: 2595636,https://www.niceprice62.ru/telefony/mobilnye-telefony/apple-iphone-13-128gb-starlight-siyayuschaya-zvezda/
23,Смартфон Samsung Galaxy A54 5G (SM-A546) 8/256GB Lavender (лаванда),||Операционная система: |Android||Диагональ экрана: |6.4||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |2 nano SIM||Количество основных (тыловых) камер: |3| ,33990,Код товара: 2800153,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-a54-5g-sm-a546-8-256gb-lavender-lavanda/
24,Смартфон Xiaomi Redmi 12 8/256GB (NFC) (RU/A) Midnight Black (полночный черный),"||Операционная система: |Android||Диагональ экрана: |6.79"" (2400x1080). Full HD. AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ",15490,Код товара: 2826764,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-12-8-256gb-nfc-ru-a-midnight-black-polnochnyiy-chernyiy/
25,Смартфон Apple iPhone 13 128GB Pink (розовый),"||Операционная система: |IOS||Диагональ экрана: |6.1"" (2532x1170). Full HD. OLED||Емкость аккумулятора: |3240 мА⋅ч||SIM-карты: |Nano SIM+eSIM||Количество основных (тыловых) камер: |2| ",65990,Код товара: 2595634,https://www.niceprice62.ru/telefony/mobilnye-telefony/apple-iphone-13-128gb-pink-rozovyiy/
26,Смартфон Apple iPhone 13 128GB Midnight (темная ночь),"||Операционная система: |IOS||Диагональ экрана: |6.1"" (2532x1170). Full HD. OLED||Емкость аккумулятора: |3240 мА⋅ч||SIM-карты: |Nano SIM+eSIM||Количество основных (тыловых) камер: |2| ",65990,Код товара: 2595635,https://www.niceprice62.ru/telefony/mobilnye-telefony/apple-iphone-13-128gb-midnight-temnaya-noch/
27,Смартфон realme C55 8/256GB Rainy Night (черный),"||Операционная система: |Android||Диагональ экрана: |6.72"" (2400x1080). Full HD. IPS||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |2| ",16490,Код товара: 2799724,https://www.niceprice62.ru/telefony/mobilnye-telefony/realme-c55-8-256gb-rainy-night-chernyiy/
28,Смартфон Apple iPhone 14 128GB Purple (фиолетовый),||Операционная система: |IOS||Диагональ экрана: |6.1||Емкость аккумулятора: |3279 мА⋅ч||SIM-карты: |Dual еSIM||Количество основных (тыловых) камер: |2| ,76990,Код товара: 2733357,https://www.niceprice62.ru/telefony/mobilnye-telefony/apple-iphone-14-128gb-purple-fioletovyiy/
29,Смартфон Xiaomi Redmi Note 12 Pro 4G 8/256GB (NFC) (Global Version) Blue (синий),"||Операционная система: |Android||Диагональ экрана: |6.67"" (2400x1080). Full HD. AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |4| ",24986,Код товара: 2823759,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-note-12-pro-4g-8-256gb-nfc-global-version-blue-siniy/
30,Смартфон Apple iPhone 14 128GB Midnight (темная ночь),||Операционная система: |IOS||Диагональ экрана: |6.1||Емкость аккумулятора: |3279 мА⋅ч||SIM-карты: |Dual: nano SIM + eSIM||Количество основных (тыловых) камер: |2| ,76990,Код товара: 2733356,https://www.niceprice62.ru/telefony/mobilnye-telefony/apple-iphone-14-128gb-midnight-temnaya-noch/
31,Смартфон Xiaomi Redmi 12C 4/128GB (NFC) (Global Version) Graphite Grey (серый графит),"||Операционная система: |Android||Диагональ экрана: |6.71"" (1650x720). HD. IPS||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |2 nano SIM||Количество основных (тыловых) камер: |2| ",9790,Код товара: 2823749,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-12c-4-128gb-nfc-global-version-graphite-grey-seryiy-grafit/
32,Смартфон Samsung Galaxy S23 (SM-S911B) 8/256GB (Snapdragon 8 Gen2) Phantom Black (черный фантом),"||Операционная система: |Android||Диагональ экрана: |6.1"" (2340×1080). Full HD. AMOLED||Емкость аккумулятора: |3900 мА⋅ч||SIM-карты: |Dual: nano SIM + eSIM||Количество основных (тыловых) камер: |3| ",66990,Код товара: 2776211,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-s23-sm-s911b-8-256gb-snapdragon-8-gen2-phantom-black-chernyiy-fantom/
33,Смартфон Samsung Galaxy A54 5G (SM-A546) 8/256GB White (белый),"||Операционная система: |Android||Диагональ экрана: |6.4"" (2340×1080). 2K QHD. Super AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |2 nano SIM||Количество основных (тыловых) камер: |3| ",33990,Код товара: 2796344,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-a54-5g-sm-a546-8-256gb-white-belyiy/
34,Смартфон Samsung Galaxy A54 5G (SM-A546) 8/256GB Lime (лайм),"||Операционная система: |Android||Диагональ экрана: |6.4"" (2340×1080). 2K QHD. Super AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |2 nano SIM||Количество основных (тыловых) камер: |3| ",33990,Код товара: 2796343,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-a54-5g-sm-a546-8-256gb-lime-laym/
35,Смартфон Samsung Galaxy A24 (SM-A245) 6/128GB Black (черный),"||Операционная система: |Android||Диагональ экрана: |6.5"" (2340×1080). Full HD. Super AMOLED||Емкость аккумулятора: |5000 мА⋅ч||Количество основных (тыловых) камер: |3| ",18990,Код товара: 2806232,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-a24-sm-a245-6-128gb-black-chernyiy/
36,Смартфон Samsung Galaxy A14 (SM-A145) 6/128GB Black (черный),"||Операционная система: |Android||Диагональ экрана: |6.6"" (2400x1080). Full HD. PLS||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ",16490,Код товара: 2796401,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-a14-sm-a145-6-128gb-black-chernyiy/
37,Смартфон realme C30s 3/64GB Black (черный),"||Операционная система: |Android||Диагональ экрана: |6.5"" (1600x720). HD. Super LCD||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |1| ",6464,Код товара: 2815362,https://www.niceprice62.ru/telefony/mobilnye-telefony/realme-c30s-3-64gb-black-chernyiy/
38,Смартфон Xiaomi Redmi Note 12 4G 8/256GB (NFC) (RU/A) Ice Blue (синий лед),||Операционная система: |Android||Диагональ экрана: |6.67||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ,17990,Код товара: 2823859,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-note-12-4g-8-256gb-nfc-ru-a-ice-blue-siniy-led/
39,Телефон Philips Xenium E590 Black (черный),"||Операционная система: |Другая||Диагональ экрана: |3.2"" (320×240). SD. TFT||Емкость аккумулятора: |3100 мА⋅ч||SIM-карты: |SIM+micro SIM||Количество основных (тыловых) камер: |1| ",4677,Код товара: 2556268,https://www.niceprice62.ru/telefony/mobilnye-telefony/philips-xenium-e590-black-chernyiy/
40,Смартфон Xiaomi Redmi Note 12 4G 8/256GB (NFC) (RU/A) Onyx Grey (серый оникс),"||Операционная система: |Android||Диагональ экрана: |6.67"" (2400x1080). 2K QHD. AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ",17990,Код товара: 2823861,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-note-12-4g-8-256gb-nfc-ru-a-onyx-grey-seryiy-oniks/
41,Смартфон Samsung Galaxy S21 FE (SM-G990E) 8/256GB (Exynos) Olive (зеленый),"||Операционная система: |Android||Диагональ экрана: |6.4"" (2340×1080). Full HD. Dynamic AMOLED 2X||Емкость аккумулятора: |4500 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ",44990,Код товара: 2767338,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-s21-fe-sm-g990e-8-256gb-exynos-olive-zelenyiy/
42,Смартфон realme 10 8/128GB Clash White (белый),"||Операционная система: |Android||Диагональ экрана: |6.4"" (2400x1080). Full HD. AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |2| ",17707,Код товара: 2750016,https://www.niceprice62.ru/telefony/mobilnye-telefony/realme-10-8-128gb-clash-white-belyiy/
